,Unnamed: 0,tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,christmas,hanukkah,kwanzaa,holiday,earnings
0,0,tt0020356,movie,Sailor's Holiday,Sailor's Holiday,1929,58.0,Comedy,sailors holiday,5.4,55,False,False,False,True,3507655.3200000003
1,1,tt0020823,movie,The Devil's Holiday,The Devil's Holiday,1930,80.0,"Drama,Romance",the devils holiday,6.0,242,False,False,False,True,4205244.6
2,2,tt0020985,movie,Holiday,Holiday,1930,91.0,"Comedy,Drama",holiday,6.3,638,False,False,False,True,18917689.139999997
3,3,tt0021268,movie,Holiday of St. Jorgen,Prazdnik svyatogo Yorgena,1930,83.0,Comedy,holiday of st jorgen,7.4,256,False,False,False,True,23845148.02
4,4,tt0021377,movie,Sin Takes a Holiday,Sin Takes a Holiday,1930,81.0,"Comedy,Romance",sin takes a holiday,6.1,740,False,False,False,True,74542815.57
5,5,tt0021381,movie,Sinners' Holiday,Sinners' Holiday,1930,60.0,"Adventure,Crime,Romance",sinners holiday,6.3,688,False,False,False,True,55398496.85999999
6,6,tt0023039,movie,Husband's Holiday,Husband's Holiday,1931,70.0,Drama,husbands holiday,6.4,27,False,False,False,True,42503925.760000005
7,7,tt0024869,movie,Beggar's Holiday,Beggar's Holiday,1934,60.0,"Crime,Drama,Romance",beggars holiday,5.6,15,False,False,False,True,23949288.72
8,8,tt0025006,movie,Cowboy Holiday,Cowboy Holiday,1934,56.0,Western,cowboy holiday,4.8,74,False,False,False,True,60896904.0
9,9,tt0025037,movie,Death Takes a Holiday,Death Takes a Holiday,1934,79.0,"Drama,Fantasy,Romance",death takes a holiday,6.9,2361,False,False,False,True,58209056.879999995
10,10,tt0027456,movie,College Holiday,College Holiday,1936,86.0,"Comedy,Musical,Romance",college holiday,5.7,190,False,False,False,True,36456441.9
11,11,tt0027923,movie,Mad Holiday,Mad Holiday,1936,71.0,"Comedy,Mystery,Romance",mad holiday,6.0,212,False,False,False,True,18693313.200000003
12,12,tt0028310,movie,Stolen Holiday,Stolen Holiday,1937,80.0,"Drama,Romance",stolen holiday,6.3,615,False,False,False,True,84088123.55999999
13,13,tt0028576,movie,Angel's Holiday,Angel's Holiday,1937,76.0,"Comedy,Crime,Mystery",angels holiday,6.4,32,False,False,False,True,22237947.52
14,14,tt0028763,movie,Dangerous Holiday,Dangerous Holiday,1937,58.0,Drama,dangerous holiday,5.8,57,False,False,False,True,64182628.9
15,15,tt0028843,movie,Every Day's a Holiday,Every Day's a Holiday,1937,79.0,"Comedy,Musical",every days a holiday,6.2,466,False,False,False,True,51984159.160000004
16,16,tt0029894,movie,Bank Holiday,Bank Holiday,1938,86.0,"Comedy,Drama",bank holiday,6.4,530,False,False,False,True,36399484.800000004
17,17,tt0029992,movie,A Christmas Carol,A Christmas Carol,1938,69.0,"Drama,Family,Fantasy",a christmas carol,7.5,8312,True,False,False,False,12932976.0
18,18,tt0030027,movie,Crime Takes a Holiday,Crime Takes a Holiday,1938,59.0,"Action,Crime,Drama",crime takes a holiday,6.5,25,False,False,False,True,46215205.4
19,19,tt0030241,movie,Holiday,Holiday,1938,95.0,"Comedy,Romance",holiday,7.7,17619,False,False,False,True,57152466.14
